"Connect to";"Part";"Alternative Part";"Comment";"Quantity"
"X1";"15EDGKNHG-3.5-12P";"";"";"1"
"X2";"15EDGKNHG-3.5-24P";"";"";"1"
"BAT1";"SR621SW";"";"";"1"
